Kategoria;Empik;Swiatksiazki
Fantasy/Horror/Science-Fiction;https://www.empik.com/bestsellery/ksiazki/fantastyka-horror?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/fantastyka-1767.html?bestseller_1_category_47=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Biografie;https://www.empik.com/bestsellery/ksiazki/biografie?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/biografie-2738.html?bestseller_1_category_25=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Literatura obyczajowa;https://www.empik.com/bestsellery/ksiazki/literatura-obyczajowa?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/proza-obyczajowa-4745.html?bestseller_1_category_6016=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Literatura faktu;https://www.empik.com/bestsellery/ksiazki/literatura-faktu-reportaz?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/literatura-faktu-564.html?bestseller_1_category_99=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Kryminał/Sensacja;https://www.empik.com/bestsellery/ksiazki/kryminal-sensacja-thriller?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/kryminal-i-sensacja-1768.html?bestseller_1_category_92=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Historia;https://www.empik.com/bestsellery/ksiazki/historia?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/historia-90.html?bestseller_1_category_61=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Literatura młodzieżowa;https://www.empik.com/bestsellery/ksiazki/dla-mlodziezy?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/dla-mlodziezy-80.html?bestseller_1_category_37=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Biznes/Ekonomia/Marketing;https://www.empik.com/bestsellery/ksiazki/biznes-ekonomia-marketing?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/biznes-1765.html?bestseller_1_category_26=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Poradniki;https://www.empik.com/bestsellery/ksiazki/poradniki?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/poradniki-1777.html?bestseller_1_category_123=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
Poezja/Aforyzm/Dramat;https://www.empik.com/bestsellery/ksiazki/poezja-aforyzm-dramat?resultsPP=60;https://www.swiatksiazki.pl/ksiazki/poezja-i-dramat-1772.html?bestseller_1_category_117=1&is_bestseller_all=1&product_list_mode=list&product_list_order=bestseller_weekly&product_list_limit=50
