ID;Name;Name in home country;Date of birth;Age;Height (m);Position;Foot;Player agent;Highest market value (Euro);Current value (Euro);Current club;Joined;Contract expires;Image
0;Mateusz Lis;-;Feb 27, 1997;24;1,92;Goalkeeper;right;Fabryka Futbolu;1.00m;1.00m;Altay SK;Aug 6, 2021;Jun 30, 2025;https://img.a.transfermarkt.technology/portrait/big/345437-1559909213.jpg?lm=1
1;Lukas Klemenz;-;Sep 24, 1995;26;1,91;Centre-Back, Defensive Midfield, Right-Back;right;box2box Football Agency;450Th.;350Th.;Budapest Honvéd FC;Jan 28, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/237334-1616226919.jpg?lm=1
2;David Niepsuj;-;Aug 16, 1995;26;1,83;Right-Back, Left-Back, Right Midfield;right;Arnold Żarnotal;400Th.;;Chojniczanka Chojnice;Jan 12, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/184849-1550589015.jpg?lm=1
3;Rafal Janicki;Rafał Janicki;Jul 5, 1992;29;1,88;Centre-Back, Right-Back;right;Fabryka Futbolu;850Th.;350Th.;Górnik Zabrze;Jul 16, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/153638-1448287475.jpg?lm=1
4;Maciej Sadlok;-;Jun 29, 1989;32;1,86;Centre-Back, Left-Back;left;Fabryka Futbolu;1.60m;200Th.;Wisla Kraków;Jul 1, 2014;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/50751-1447257520.jpg?lm=1
5;Kamil Wojtkowski;-;Feb 26, 1998;23;1,73;Attacking Midfield, Left Winger, Right Winger;both;KFM;350Th.;300Th.;Ethnikos Achnas;Jan 12, 2022;-;Placeholder
6;Chuca;-;Jun 10, 1997;24;1,81;Attacking Midfield, Defensive Midfield, Central Midfield;right;Promoesport;500Th.;300Th.;Miedz Legnica;Aug 27, 2021;Jun 30, 2023;Placeholder
7;Rafal Boguski;Rafał Boguski;Jun 9, 1984;37;1,73;Attacking Midfield, Right Winger, Left Winger;right;-;2.50m;50Th.;Puszcza Niepolomice;Jul 1, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/36858-1447257990.jpg?lm=1
8;Mateusz Holownia;Mateusz Hołownia;May 6, 1998;23;1,84;Centre-Back, Left Midfield, Left-Back;left;KFM;400Th.;200Th.;Legia Warszawa;Jul 1, 2014;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/266379-1550666114.jpg?lm=1
9;Vullnet Basha;-;Jul 11, 1990;31;1,76;Defensive Midfield, Central Midfield, Right Midfield;right;Emartsoccer;1.15m;300Th.;Ionikos Nikeas;Jul 5, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/s_56324_321_2012_1.jpg?lm=1
