ID;Season;Competition;Club;Appearances;Points per match;Goals;Assists;Own goals;Substitutions on;Substitutions off;Yellow cards;Second yellow cards;Red cards;Penalty goals;Minutes per goal;Minutes played
1;21/22;NB I.;Budapest Honvéd FC;16;1,06;1;0;0;1;2;3;0;0;0;1311;1311
1;21/22;Magyar Kupa;Budapest Honvéd FC;1;3,00;0;1;0;1;0;0;0;0;0;0;16
1;20/21;NB I.;Budapest Honvéd FC;6;0,50;0;0;0;1;0;2;0;0;0;0;476
1;20/21;Magyar Kupa;Budapest Honvéd FC;2;1,50;0;0;0;0;0;0;0;1;0;0;100
1;20/21;Ekstraklasa;Wisla Kraków;4;1,25;0;0;0;1;1;0;0;0;0;0;228
1;20/21;Fortuna Polish Cup;Wisla Kraków;0;0;0;0;0;0;0;0;0;0;0;0;0
1;19/20;Ekstraklasa;Wisla Kraków;33;1,27;1;0;0;0;3;11;0;0;0;2826;2826
1;19/20;Fortuna Polish Cup;Wisla Kraków;0;0;0;0;0;0;0;0;0;0;0;0;0
1;18/19;Ekstraklasa;Wisla Kraków;10;1,10;0;1;0;2;1;2;0;0;0;0;697
1;18/19;Ekstraklasa;Jagiellonia Bialystok;7;1,57;1;0;0;1;1;4;0;0;0;541;541
1;18/19;Fortuna Polish Cup;Jagiellonia Bialystok;3;3,00;0;0;0;1;0;1;0;0;0;0;224
1;18/19;Europa League Qualifying;Jagiellonia Bialystok;0;0;0;0;0;0;0;0;0;0;0;0;0
1;17/18;Nice 1 Liga;GKS Katowice;27;1,67;2;0;0;0;1;6;0;0;0;1193;2385
1;17/18;Fortuna Polish Cup;GKS Katowice;1;0,00;0;0;0;0;1;0;0;0;0;0;45
1;16/17;Nice 1 Liga;Olimpia Grudziadz;21;1,76;1;0;0;1;1;6;0;0;0;1800;1800
1;16/17;Fortuna Polish Cup;Olimpia Grudziadz;1;0,00;0;0;0;1;0;0;0;0;0;0;26
1;15/16;1 Liga;GKS Belchatow;22;0,86;1;0;0;0;4;8;0;0;0;1912;1912
1;15/16;Fortuna Polish Cup;GKS Belchatow;2;1,50;0;0;0;0;1;1;0;0;0;0;165
1;14/15;Ekstraklasa;Korona Kielce;10;1,40;0;0;0;2;2;2;0;0;0;0;671
2;20/21;Ekstraklasa;Podbeskidzie Bielsko-Biala;9;0,78;1;0;0;2;6;1;0;0;0;528;528
2;20/21;Ekstraklasa;Wisla Kraków;2;1,00;0;0;0;1;1;0;0;0;0;0;110
2;19/20;Ekstraklasa;Wisla Kraków;22;1,41;2;2;0;2;2;8;0;0;0;888;1776
2;18/19;3 Liga - Group II;Pogon Szczecin II;8;1,25;0;1;0;0;1;0;0;1;0;0;700
2;18/19;Ekstraklasa;Pogon Szczecin;10;1,80;0;0;0;0;4;2;0;0;0;0;817
2;17/18;Ekstraklasa;Pogon Szczecin;18;1,17;1;2;0;2;2;2;0;0;0;1468;1468
2;17/18;3 Liga - Group II;Pogon Szczecin II;2;1,50;0;0;0;0;0;0;0;0;0;0;180
2;17/18;Fortuna Polish Cup;Pogon Szczecin;2;1,50;0;0;0;0;0;2;0;1;0;0;208
2;16/17;Ekstraklasa;Pogon Szczecin;12;1,08;0;0;0;0;2;4;0;0;0;0;997
